Date,Oil Consumption Momentum Factor
1965,
1966,0.07795001810054103
1967,0.07350274682853009
1968,0.0839285627469708
1969,0.090181046400859
1970,0.08913640828143077
1971,0.05656180215456108
1972,0.07313756495231472
1973,0.08213153761269032
1974,-0.018118595584979413
1975,-0.009788848120154903
1976,0.06187981938193543
1977,0.03337219893956922
1978,0.053061127337577396
1979,0.018286485816967346
1980,-0.04516217609763151
1981,-0.0326701950597057
1982,-0.02995160622407189
1983,-0.005713388554627108
1984,0.018141702525018344
1985,0.008030280534638168
1986,0.02995488552356873
1987,0.020149296009657647
1988,0.02816126267425645
1989,0.017850803518945746
1990,0.01268581531074986
1991,0.0015572954686626783
1992,0.01265512750724751
1993,-0.0019874780569654193
1994,0.021997670879547515
1995,0.020028445543804896
1996,0.019944417801159853
1997,0.029490265186943088
1998,0.007444563192547271
1999,0.018180347243426986
2000,0.008441352448582684
2001,0.011766134973044684
2002,0.009473326689754646
2003,0.020111501403228482
2004,0.03298016809315141
2005,0.010732455510788386
2006,0.010638472969090929
2007,0.011448036980731047
2008,-0.011264195769458696
2009,-0.01672387677106102
2010,0.03202208647828164
2011,0.007596675874201431
2012,0.00937223422852318
2013,0.013272389703798737
2014,0.006209964079412433
2015,0.020362705733760977
2016,0.018310826137234892
2017,0.01874821305388097
2018,0.015552217194006568
2019,0.0023024694259849987
2020,-0.09408635954278877
2021,0.06006751951008105
