date,usgc_singapore_margin_spread_factor_v1
2000-03-31,
2000-06-30,0.28000000000000025
2000-09-30,4.59
2000-12-31,0.6800000000000002
2001-03-31,1.5899999999999999
2001-06-30,5.99
2001-09-30,6.75
2001-12-31,2.49
2002-03-31,0.5900000000000001
2002-06-30,1.84
2002-09-30,2.44
2002-12-31,1.35
2003-03-31,1.57
2003-06-30,3.1599999999999997
2003-09-30,2.9299999999999997
2003-12-31,4.34
2004-03-31,1.3199999999999998
2004-06-30,3.5
2004-09-30,6.38
2004-12-31,1.5099999999999998
2005-03-31,-2.5
2005-06-30,2.3199999999999994
2005-09-30,3.0699999999999994
2005-12-31,10.600000000000001
2006-03-31,7.220000000000001
2006-06-30,7.319999999999999
2006-09-30,10.909999999999998
2006-12-31,7.890000000000001
2007-03-31,4.97
2007-06-30,5.300000000000001
2007-09-30,18.450000000000003
2007-12-31,8.06
2008-03-31,1.0200000000000005
2008-06-30,1.4500000000000002
2008-09-30,-0.8200000000000003
2008-12-31,3.969999999999999
2009-03-31,-2.67
2009-06-30,4.180000000000001
2009-09-30,6.11
2009-12-31,4.18
2010-03-31,3.2199999999999998
2010-06-30,2.5300000000000002
2010-09-30,5.74
2010-12-31,2.38
2011-03-31,2.7100000000000004
2011-06-30,-1.6400000000000006
2011-09-30,4.41
2011-12-31,0.3200000000000003
2012-03-31,-4.46
2012-06-30,2.0900000000000003
2012-09-30,8.84
2012-12-31,8.5
2013-03-31,0.5699999999999998
2013-06-30,1.12
2013-09-30,7.869999999999999
2013-12-31,6.54
2014-03-31,6.29
2014-06-30,4.5
2014-09-30,12.34
2014-12-31,9.610000000000001
2015-03-31,-0.5499999999999998
2015-06-30,4.19081417700378
2015-09-30,10.63529123795817
2015-12-31,14.19839570806359
2016-03-31,3.566043729102029
2016-06-30,2.5197924583946305
2016-09-30,6.47964202029319
2016-12-31,6.244379777772529
2017-03-31,4.234299448068051
2017-06-30,5.47881664842134
2017-09-30,5.78536062003656
2017-12-31,7.4784909602554706
2018-03-31,3.3941264302784795
2018-06-30,2.9344437517409396
2018-09-30,4.881925498823649
2018-12-31,4.8318848573909605
2019-03-31,-0.5763978103529297
2019-06-30,-0.29000000000000004
2019-09-30,5.199999999999999
2019-12-31,3.2300000000000004
2020-03-31,7.15
2020-06-30,5.593709648807884
2020-09-30,2.276649880898932
2020-12-31,3.489112119248163
2021-03-31,2.91277720249051
2021-06-30,7.81119399548208
2021-09-30,11.20485876175401
2021-12-31,12.563446950621064
