,Docx_F1_WTI_Momentum_5d,Docx_F2_Brent_WTI_Spread,Docx_F3_USD_Inv_Ret,Docx_F4_DJIA_Sentiment_10d,Docx_F5_Rig_Count_Neg_Growth,PDF_F1_Diesel_Vol_Mom_20d,PDF_F2_Gas_Vol_Mom_20d,PDF_F3_Gas_Crack_Mom_10d,PDF_F4_Gas_Demand_Strength_5d,PDF_F5_Heating_Vol_Mom_20d,PDF_F6_Heating_Seasonal_15d,PDF_F7_Heating_Crack_Reversal_10d,PDF_F8_Heating_Vol_Regime_5d,PDF_F9_Composite_Product_Mom_20d,PDF_F10_Product_Spread_Div_15d,PDF_F11_Diesel_Gas_Ratio_Mom_10d,PDF_F12_Refinery_Margin_Pressure_20d,PDF_F13_Demand_Structure_Shift_30d,Refinery_Operating_Profitability_Factor_v1,usgc_singapore_margin_spread_factor_v1,Oil Consumption Momentum Factor,diesel_price_volatility_factor_v1,diesel_momentum_factor_10d
Docx_F1_WTI_Momentum_5d,1.0,-0.08025465511282076,-0.053928313101670844,0.12358765201509145,-0.08298768186319391,0.36831260899875806,0.41292479681762545,-0.03874093481978185,0.5969225519047994,0.36275623377436106,-0.059587942280106124,-0.13800523056535532,-0.13176606690371767,0.42237190209644176,-0.10111048783233387,-0.013021046558928741,0.11817927089300653,0.0006748083761444027,-0.09568503779305473,-0.09979324959669231,,0.002171813280814848,0.6100805828532759
Docx_F2_Brent_WTI_Spread,-0.08025465511282076,1.0,-0.03789195157896389,0.006700317448909582,0.012184873530505666,0.010273144054093358,-0.0007868458195353978,0.03671993727813859,-0.010037594972046699,-0.006817610385538098,0.12145785021876844,-0.0857734499459369,-0.028266240939522173,0.004318706080234237,-0.3501234650222891,-0.011766959813166078,0.05964013534456101,-0.002755019762047611,0.03266025477051215,-0.005706558340133741,-0.03376989447990236,0.17777054913037393,-0.02707612242141901
Docx_F3_USD_Inv_Ret,-0.053928313101670844,-0.03789195157896389,1.0,0.056115636364006585,-0.0018141850327647866,-0.08274898714155826,-0.13190819432549897,-0.13042460703591083,-0.18088028494589173,-0.09521551845984783,0.14647990797586663,0.051788619324632565,-0.10880566245414701,-0.12241962381991255,-0.08982063752725684,0.008523145557674775,0.07181468337333573,-0.002330352581385421,,,,0.10247583347174319,-0.08100277225922697
Docx_F4_DJIA_Sentiment_10d,0.12358765201509145,0.006700317448909582,0.056115636364006585,1.0,-0.0059819316590291475,-0.013015180600753727,0.10519415076296897,-0.0018387245518378245,0.05127362028018169,0.03715929929918659,-0.07298476839874056,0.06800374656165178,-0.0952814083814114,0.058634592107885415,0.01745221937902267,-0.11740698497169287,-0.07441292018731566,0.028862594873892377,-0.13699080617250017,-0.11996501568921043,,0.004760145819274606,0.06574709919379355
Docx_F5_Rig_Count_Neg_Growth,-0.08298768186319391,0.012184873530505666,-0.0018141850327647866,-0.0059819316590291475,1.0,-0.042569370921048254,-0.021778890310926675,0.11696866116112532,0.0011265631971190055,-0.04584151727777624,-0.26087386697954484,0.1306055430337884,0.027146395187857233,-0.03360536505325693,0.3169128231487743,-0.041494610172403,-0.1419748578116576,0.09277815260569147,0.17582272432152904,0.06661512952418722,-0.19708915982640574,0.008806746497767364,0.019339382374841264
PDF_F1_Diesel_Vol_Mom_20d,0.36831260899875806,0.010273144054093358,-0.08274898714155826,-0.013015180600753727,-0.042569370921048254,1.0,0.6598726024064725,-0.029054306173035203,0.2484872264132072,0.8126021075705595,0.11321587154532033,-0.28181283404003143,-0.10509141793799862,0.8822670975418138,-0.018612149572932377,0.20843472039346944,0.24957928857092718,-0.11206564389122764,-0.1255969861834525,-0.04375232149538674,0.07564411688823917,0.03506142056135941,0.5006848381748485
PDF_F2_Gas_Vol_Mom_20d,0.41292479681762545,-0.0007868458195353978,-0.13190819432549897,0.10519415076296897,-0.021778890310926675,0.6598726024064725,1.0,0.12484957265296244,0.40672871141367767,0.7186787402986959,0.09197932989266487,-0.13522225235277618,-0.1330558953377495,0.9358939784179384,0.037649748525739705,-0.2863122667798713,0.2858771714306529,0.27493244505398107,-0.0941428587900608,-0.030268657387364034,0.0544770835823692,-0.01490844020314083,0.3044643994492328
PDF_F3_Gas_Crack_Mom_10d,-0.03874093481978185,0.03671993727813859,-0.13042460703591083,-0.0018387245518378245,0.11696866116112532,-0.029054306173035203,0.12484957265296244,1.0,0.09392215458122075,-0.036711406654362885,-0.02923881300746053,-0.057930852585453184,0.046576485810697475,0.06459681078581657,0.08280053786240235,-0.28549409055484454,0.007144362475996669,0.0018893229422870317,-0.012388653674732433,0.021344403139256517,-0.12481473341255894,0.0042650916103841065,0.009624715564633556
PDF_F4_Gas_Demand_Strength_5d,0.5969225519047994,-0.010037594972046699,-0.18088028494589173,0.05127362028018169,0.0011265631971190055,0.2484872264132072,0.40672871141367767,0.09392215458122075,1.0,0.29554649142781764,0.011792621648925267,-0.09559191087120439,-0.07232056434080297,0.3713323338606527,0.005156402309944384,-0.1378194031821968,0.03324255456786427,0.009496753821360266,-0.0450919971989513,0.01990809565272317,0.01810962378107169,-0.01658264598537718,0.3110128860370416
PDF_F5_Heating_Vol_Mom_20d,0.36275623377436106,-0.006817610385538098,-0.09521551845984783,0.03715929929918659,-0.04584151727777624,0.8126021075705595,0.7186787402986959,-0.036711406654362885,0.29554649142781764,1.0,0.1518102905468539,-0.37890433190393025,-0.0826783375092501,0.8312584542192748,0.0034972495368756035,0.02331041548889852,0.21829984412480347,-0.05353503362526376,-0.13207691667892876,-0.012996832331066362,0.10927032923773991,0.03482907780148414,0.33684994463635665
PDF_F6_Heating_Seasonal_15d,-0.059587942280106124,0.12145785021876844,0.14647990797586663,-0.07298476839874056,-0.26087386697954484,0.11321587154532033,0.09197932989266487,-0.02923881300746053,0.011792621648925267,0.1518102905468539,1.0,-0.17126026678381762,0.021195223546020145,0.1107090895620701,-0.0833258328229462,0.006377825583944452,0.11415442106668115,-0.02252541325974477,0.1834490662598624,0.001885590854323988,0.06788760146201225,0.25399728922238624,0.021304076918225306
PDF_F7_Heating_Crack_Reversal_10d,-0.13800523056535532,-0.0857734499459369,0.051788619324632565,0.06800374656165178,0.1306055430337884,-0.28181283404003143,-0.13522225235277618,-0.057930852585453184,-0.09559191087120439,-0.37890433190393025,-0.17126026678381762,1.0,-0.056093026352869356,-0.21689977463053461,0.007039288094052107,-0.11730963136690074,-0.3860587350292498,0.17402716816069153,0.11978933638463697,-0.14014230282054962,-0.11376477905858243,-0.16243922722676452,-0.16991966312329373
PDF_F8_Heating_Vol_Regime_5d,-0.13176606690371767,-0.028266240939522173,-0.10880566245414701,-0.0952814083814114,0.027146395187857233,-0.10509141793799862,-0.1330558953377495,0.046576485810697475,-0.07232056434080297,-0.0826783375092501,0.021195223546020145,-0.056093026352869356,1.0,-0.13265049659163405,-0.0297744785718762,0.021442025352310507,-0.0196606857976997,-0.06837980888031459,0.03256986995442116,0.024015251821298753,-0.02004871345238095,0.14454243288722374,-0.05300882973096963
PDF_F9_Composite_Product_Mom_20d,0.42237190209644176,0.004318706080234237,-0.12241962381991255,0.058634592107885415,-0.03360536505325693,0.8822670975418138,0.9358939784179384,0.06459681078581657,0.3713323338606527,0.8312584542192748,0.1107090895620701,-0.21689977463053461,-0.13265049659163405,1.0,0.014889097546088945,-0.08164690676122736,0.29572873777744235,0.11966845337837648,-0.11603618150711525,-0.038840786140167484,0.06963474220031476,0.007093227289873351,0.4254991428246487
PDF_F10_Product_Spread_Div_15d,-0.10111048783233387,-0.3501234650222891,-0.08982063752725684,0.01745221937902267,0.3169128231487743,-0.018612149572932377,0.037649748525739705,0.08280053786240235,0.005156402309944384,0.0034972495368756035,-0.0833258328229462,0.007039288094052107,-0.0297744785718762,0.014889097546088945,1.0,-0.019137914937491046,0.025571544904205115,0.1682494778717916,-0.05336347886277254,-0.05236244664544549,-0.19672773913044728,-0.012458056293702646,0.03301784958543142
PDF_F11_Diesel_Gas_Ratio_Mom_10d,-0.013021046558928741,-0.011766959813166078,0.008523145557674775,-0.11740698497169287,-0.041494610172403,0.20843472039346944,-0.2863122667798713,-0.28549409055484454,-0.1378194031821968,0.02331041548889852,0.006377825583944452,-0.11730963136690074,0.021442025352310507,-0.08164690676122736,-0.019137914937491046,1.0,-0.035059939064486394,-0.3441102067195203,0.004346769841642832,-0.03187575549575247,-0.01945804199315867,0.036410934837150646,0.26750855993567596
PDF_F12_Refinery_Margin_Pressure_20d,0.11817927089300653,0.05964013534456101,0.07181468337333573,-0.07441292018731566,-0.1419748578116576,0.24957928857092718,0.2858771714306529,0.007144362475996669,0.03324255456786427,0.21829984412480347,0.11415442106668115,-0.3860587350292498,-0.0196606857976997,0.29572873777744235,0.025571544904205115,-0.035059939064486394,1.0,0.07759479619001566,-0.15280037478212294,0.027132745980658242,0.16963249549600184,0.131602199195896,0.046871924340431775
PDF_F13_Demand_Structure_Shift_30d,0.0006748083761444027,-0.002755019762047611,-0.002330352581385421,0.028862594873892377,0.09277815260569147,-0.11206564389122764,0.27493244505398107,0.0018893229422870317,0.009496753821360266,-0.05353503362526376,-0.02252541325974477,0.17402716816069153,-0.06837980888031459,0.11966845337837648,0.1682494778717916,-0.3441102067195203,0.07759479619001566,1.0,0.004498643930096938,-0.021484720100123225,-0.07999709091644883,-0.10503086823227781,-0.009429397882476336
Refinery_Operating_Profitability_Factor_v1,-0.09568503779305473,0.03266025477051215,,-0.13699080617250017,0.17582272432152904,-0.1255969861834525,-0.0941428587900608,-0.012388653674732433,-0.0450919971989513,-0.13207691667892876,0.1834490662598624,0.11978933638463697,0.03256986995442116,-0.11603618150711525,-0.05336347886277254,0.004346769841642832,-0.15280037478212294,0.004498643930096938,1.0,0.48425215524985493,-0.04871146193023744,0.13923133125486675,-0.05607380795799634
usgc_singapore_margin_spread_factor_v1,-0.09979324959669231,-0.005706558340133741,,-0.11996501568921043,0.06661512952418722,-0.04375232149538674,-0.030268657387364034,0.021344403139256517,0.01990809565272317,-0.012996832331066362,0.001885590854323988,-0.14014230282054962,0.024015251821298753,-0.038840786140167484,-0.05236244664544549,-0.03187575549575247,0.027132745980658242,-0.021484720100123225,0.48425215524985493,1.0,0.15591550588298178,0.3041204967690115,-0.016620444351140365
Oil Consumption Momentum Factor,,-0.03376989447990236,,,-0.19708915982640574,0.07564411688823917,0.0544770835823692,-0.12481473341255894,0.01810962378107169,0.10927032923773991,0.06788760146201225,-0.11376477905858243,-0.02004871345238095,0.06963474220031476,-0.19672773913044728,-0.01945804199315867,0.16963249549600184,-0.07999709091644883,-0.04871146193023744,0.15591550588298178,1.0,0.011557809850227795,0.03104557399248145
diesel_price_volatility_factor_v1,0.002171813280814848,0.17777054913037393,0.10247583347174319,0.004760145819274606,0.008806746497767364,0.03506142056135941,-0.01490844020314083,0.0042650916103841065,-0.01658264598537718,0.03482907780148414,0.25399728922238624,-0.16243922722676452,0.14454243288722374,0.007093227289873351,-0.012458056293702646,0.036410934837150646,0.131602199195896,-0.10503086823227781,0.13923133125486675,0.3041204967690115,0.011557809850227795,1.0,-0.011409178214768355
diesel_momentum_factor_10d,0.6100805828532759,-0.02707612242141901,-0.08100277225922697,0.06574709919379355,0.019339382374841264,0.5006848381748485,0.3044643994492328,0.009624715564633556,0.3110128860370416,0.33684994463635665,0.021304076918225306,-0.16991966312329373,-0.05300882973096963,0.4254991428246487,0.03301784958543142,0.26750855993567596,0.046871924340431775,-0.009429397882476336,-0.05607380795799634,-0.016620444351140365,0.03104557399248145,-0.011409178214768355,1.0
